Module	Section	Sample Name	Source
FastQC	all_sections	trim.flexbar.75bp.10_small_RNA_S4_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.10_small_RNA_S4_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.11_small_RNA_S5_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.11_small_RNA_S5_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.13_S76_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.13_S76_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.14_small_RNA_S6_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.14_small_RNA_S6_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.23_S77_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.23_S77_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.24_small_RNA_S7_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.24_small_RNA_S7_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.26_small_RNA_S8_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.26_small_RNA_S8_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.28_small_RNA_S9_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.28_small_RNA_S9_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.35_S78_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.35_S78_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.36_small_RNA_S10_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.36_small_RNA_S10_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.37_small_RNA_S11_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.37_small_RNA_S11_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.39_small_RNA_S12_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.39_small_RNA_S12_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.47_small_RNA_S13_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.47_small_RNA_S13_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.48_small_RNA_S14_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.48_small_RNA_S14_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.51_small_RNA_S15_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.51_small_RNA_S15_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.52_S79_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.52_S79_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.60_S80_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.60_S80_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.61_small_RNA_S16_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.61_small_RNA_S16_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.62_small_RNA_S17_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.62_small_RNA_S17_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.63_small_RNA_S18_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.63_small_RNA_S18_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.6_small_RNA_S1_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.6_small_RNA_S1_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.72_S81_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.72_S81_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.73_small_RNA_S19_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.73_small_RNA_S19_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.74_small_RNA_S20_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.74_small_RNA_S20_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.75_small_RNA_S21_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.75_small_RNA_S21_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.7_small_RNA_S2_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.7_small_RNA_S2_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.85_S82_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.85_S82_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.86_small_RNA_S22_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.86_small_RNA_S22_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.87_small_RNA_S23_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.87_small_RNA_S23_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.88_small_RNA_S24_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.88_small_RNA_S24_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.8_small_RNA_S3_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.8_small_RNA_S3_R1_001.fastq.gz_fastqc.zip
FastQC	all_sections	trim.flexbar.75bp.9_S75_R1_001	/glfs/brick01/gv0/putnamlab/jillashey/DT_Mcap_2023/smRNA/output/fastqc/flexbar_75bp/trim.flexbar.75bp.9_S75_R1_001.fastq.gz_fastqc.zip
